Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.192607879638672,24.659510070593672,23.754471558295847,24.64844536553832,212818400
2015-01-05,23.51105308532715,24.042126622078253,23.32517827599419,23.962465507153777,257142000
2015-01-06,23.513275146484375,23.772173022582894,23.152586716885562,23.575233439406734,263188400
2015-01-07,23.842979431152344,23.94255500406204,23.610634176714214,23.72127445249682,160423600
2015-01-08,24.75908088684082,24.816614303203295,24.05319538405384,24.170475495010283,237458000
2015-01-09,24.7856388092041,25.060026262015647,24.387333080738237,24.931683117483658,214798000
2015-01-12,24.174901962280273,24.9228296715174,24.075326382352763,24.916191524620462,198603200
2015-01-13,24.389543533325195,24.960447781897706,24.09966654067397,24.65729280767819,268367600
2015-01-14,24.296611785888672,24.449294259620693,24.008946316023966,24.128438048664517,195826400
2015-01-15,23.63718605041504,24.354134491977135,23.601782043642775,24.340858200467093,240056000
2015-01-16,23.45353126525879,23.80536831130288,23.278719381634467,23.683663301109657,314053200
2015-01-20,24.05762481689453,24.112944961639695,23.566381661439586,23.86289682691998,199599600
2015-01-21,24.241283416748047,24.575415810890004,23.95804291228469,24.108513744434763,194303600
2015-01-22,24.871936798095703,24.88742637071064,24.27890479360892,24.398396505882765,215185600
2015-01-23,25.000282287597656,25.17066760238957,24.679424412910738,24.84981141593961,185859200
2015-01-26,25.026824951171875,25.305638862108914,24.960441812153917,25.168444340293735,222460000
2015-01-27,24.150554656982422,24.889632436142726,24.126213665893424,24.876354457580167,382274800
2015-01-28,25.5158634185791,26.13766300317951,25.5158634185791,26.02923430226332,585908400
2015-01-29,26.310264587402344,26.374436166209705,25.571186479963302,25.739360214484762,337745600
2015-01-30,25.92523193359375,26.553667930939003,25.85663381010451,26.1996193628405,334982000
2015-02-02,26.250511169433594,26.370002869616926,25.68624677706615,26.122169732854424,250956400
2015-02-03,26.254940032958984,26.352302335998324,26.02480803700248,26.221747609729693,207662800
2015-02-04,26.4563045501709,26.666522105734966,26.179703836194584,26.221747684954753,280598800
2015-02-05,26.6451358795166,26.70956070561401,26.49184916587451,26.662906901105913,168984800
2015-02-06,26.420766830444336,26.71400994878048,26.314132198822115,26.662913799380256,174826400
2015-02-09,26.596263885498047,26.62292126746555,26.309685165049736,26.336344241916905,155559200
2015-02-10,27.107213973999023,27.136095061304506,26.69400934269236,26.696229661023946,248034000
2015-02-11,27.74257469177246,27.751461049965634,27.213849091024947,27.27382989020448,294247200
2015-02-12,28.093585968017578,28.320183927242496,27.8958691046174,28.004724056456826,297898000
2015-02-13,28.23131561279297,28.27574571104656,27.913635495070917,28.27574571104656,217088800
2015-02-17,28.397924423217773,28.631186622082282,28.195763624881966,28.322391239862906,252609600
2015-02-18,28.59564781188965,28.6089765023717,28.313511434089126,28.353499200434882,179566800
2015-02-19,28.535667419433594,28.664517086594802,28.509010036503504,28.542331765166118,149449600
2015-02-20,28.7689266204834,28.7689266204834,28.446804181843213,28.57343012705251,195793600
2015-02-23,29.546457290649414,29.546457290649414,28.804464364721515,28.88443987343099,283896400
2015-02-24,29.36207389831543,29.679755665976195,29.139920048689255,29.533133311671225,276912400
2015-02-25,28.61119842529297,29.23545371286905,28.469020069179415,29.22656565884979,298846800
2015-02-26,28.97330093383789,29.073269475348223,28.126895418026365,28.611189120800027,365150000
2015-02-27,28.537885665893555,29.006630434896266,28.4890115466763,28.880001110615524,248059200
2015-03-02,28.67784309387207,28.942206749183107,28.502343023009654,28.71338852765152,192386800
2015-03-03,28.737823486328125,28.773368917506,28.45568713477693,28.648963298182327,151265200
2015-03-04,28.55565643310547,28.782254325481713,28.506785701219396,28.680065445448587,126665200
2015-03-05,28.08247184753418,28.60231109584079,27.938071491371385,28.56454534427654,226068400
2015-03-06,28.124679565429688,28.740045038751425,28.049148063282413,28.524555513955516,291368400
2015-03-09,28.24464988708496,28.784485687496055,27.7825693163388,28.426816037777208,354114000
2015-03-10,27.66037368774414,28.262410360171007,27.502644672745152,28.082466301280466,275426400
2015-03-11,27.156091690063477,27.718140774053996,27.127212293835008,27.71369844190335,275756000
2015-03-12,27.647045135498047,27.747015381976055,27.020571364853275,27.171636046173965,193450800
2015-03-13,27.45600128173828,27.858101016618875,27.231627050037343,27.635947103719044,207309200
2015-03-16,27.758127212524414,27.758127212524414,27.296048420518424,27.520422623715213,143497200
2015-03-17,28.22242546081543,28.284628267969687,27.913631743228663,27.96917020603059,204092400
2015-03-18,28.54010772705078,28.693394438520734,28.073584942676437,28.21354126951889,261083600
2015-03-19,28.324628829956055,28.713398245269175,28.30241377377533,28.602321269465428,183238000
2015-03-20,27.96916961669922,28.524552538116783,27.804776244841232,28.491230817057243,274780400
2015-03-23,28.260189056396484,28.402367374748902,28.106902368369962,28.240196024862197,150838800
2015-03-24,28.14468002319336,28.444585774451372,28.115798929518245,28.264643340636482,131369200
2015-03-25,27.409343719482422,28.17355357044147,27.409343719482422,28.11135075836797,206620800
2015-03-26,27.60039520263672,27.74257353801557,27.23606300636597,27.27160843766041,190291600
2015-03-27,27.380462646484375,27.70258505848325,27.304931149287167,27.67370566747833,158184800
2015-03-30,28.073585510253906,28.080249855252642,27.54708022165996,27.55818859325754,188398800
2015-03-31,27.64260482788086,28.100241236455535,27.62705412549918,28.011379353603317,168362400
2015-04-01,27.602617263793945,27.795891733269624,27.34713998434433,27.72924489692644,162485600
2015-04-02,27.840314865112305,27.893631303913526,27.589281674811655,27.775890058065443,128880400
2015-04-06,28.291296005249023,28.32684143925686,27.620392039897094,27.65149344720416,148776000
2015-04-07,27.99361228942871,28.46235544029756,27.986947943880292,28.355722521723493,140049200
2015-04-08,27.90252113342285,28.08024487808575,27.762564828557807,27.9580595917676,149316800
2015-04-09,28.115798950195312,28.120242977640842,27.693707867462628,27.95806987387628,129936000
2015-04-10,28.235755920410156,28.260192981167595,27.82699362210292,27.98027863651839,160752000
2015-04-13,28.180217742919922,28.562324360961306,28.1269012893116,28.51789087563862,145460400
2015-04-14,28.05803108215332,28.277962912412484,27.97139121887246,28.213538094478118,102098400
2015-04-15,28.1646671295166,28.242420644379937,27.99360939681727,28.082471283046583,115881600
2015-04-16,28.029157638549805,28.235760836901022,28.015828946688366,28.053594703562297,113476000
2015-04-17,27.71368980407715,28.022483486743067,27.649264991124657,27.89141354290465,207828000
2015-04-20,28.346832275390625,28.462351537154245,27.806998326302168,27.895860209527733,188217200
2015-04-21,28.19354820251465,28.48012520073409,28.140230053864958,28.457911847812642,129740400
2015-04-22,28.573429107666016,28.628967574063935,28.062476233744846,28.211318916915396,150618000
2015-04-23,28.80668830871582,28.973303690350882,28.46679320136418,28.50233862966466,183083600
2015-04-24,28.94220542907715,29.019960638198242,28.70894319151285,28.9888592325096,178103600
2015-04-27,29.468706130981445,29.57534241704705,29.135475364073407,29.393174637367302,387816800
2015-04-28,29.004404067993164,29.888575379490185,28.784473941475714,29.870806055766316,475696000
2015-04-29,28.5778751373291,29.23322840880269,28.502343631285193,28.91554998584197,253544400
2015-04-30,27.802555084228516,28.577871557806247,27.675927455621842,28.577871557806247,332781600
2015-05-01,28.646739959716797,28.908883280787258,27.835879715578056,28.013601789062115,234050400
2015-05-04,28.59119987487793,29.00662988028145,28.493451638312393,28.768923633197197,203953200
2015-05-05,27.946956634521484,28.53566301536573,27.942512608119188,28.46901617852702,197085600
2015-05-06,27.77145004272461,28.157997222329197,27.40489589374996,28.115787453355995,288564000
2015-05-07,27.9432315826416,28.126158622234403,27.666608877322254,27.833920256290526,175763600
2015-05-08,28.469703674316406,28.469703674316406,28.132849635444217,28.26000621009435,222201600
2015-05-11,28.1796932220459,28.456314180575312,28.02576623369674,28.418390682627546,168143200
2015-05-12,28.07931137084961,28.304622800272487,27.84507476175054,28.01907832189072,192640000
2015-05-13,28.110544204711914,28.37378085400866,28.079312882081744,28.141775527342084,138776800
2015-05-14,28.766399383544922,28.766399383544922,28.36708443215777,28.422854885946716,180814000
2015-05-15,28.726247787475586,28.886866975073346,28.601322509112556,28.793173016301076,152832000
2015-05-18,29.043018341064453,29.161251415641654,28.634778263125877,28.63924085196594,203531600
2015-05-19,29.01626205444336,29.196957834409226,28.92033507502926,29.15457173215365,178532800
2015-05-20,29.01401138305664,29.219246181205435,28.8533922533824,29.000627022910006,145819600
2015-05-21,29.310718536376953,29.36425939557472,28.962711461487057,29.016252320684828,158921600
2015-05-22,29.567264556884766,29.66319151483739,29.31295140420748,29.35757049383677,182384000
2015-05-26,28.915870666503906,29.649811919091093,28.804329732405115,29.580657084583308,282790400
2015-05-27,29.45572280883789,29.50480108287714,29.011792153608145,29.076484385409774,183332800
2015-05-28,29.397724151611328,29.43564765535413,29.246030136640115,29.41557110701242,122933200
2015-05-29,29.063098907470703,29.32410422543376,28.978326727566014,29.275025953274035,203538000
2015-06-01,29.121097564697266,29.310718462078576,29.01178965788815,29.06309752034872,128451200
2015-06-02,28.99172019958496,29.147876821742443,28.848947944475402,28.969410651865722,134670400
2015-06-03,29.027406692504883,29.210335427396807,28.978328417483077,29.147872787179708,123934000
2015-06-04,28.857868194580078,29.130028323353766,28.75748204307215,28.906946473798865,153800400
2015-06-05,28.699474334716797,28.93148133012239,28.634782105665426,28.889095240348773,142507200
2015-06-08,28.50985336303711,28.8243995030071,28.293463755025808,28.755241288975867,210699200
2015-06-09,28.425086975097656,28.572321802981325,28.0235406937391,28.2644677817625,224301600
2015-06-10,28.750783920288086,28.853399643667018,28.521008233053088,28.536623891216717,156349200
2015-06-11,28.68608283996582,29.04078202312874,28.661543710089028,28.817700262051552,141563600
